Isotope,Label,Start,Stop,BaselineStart,BaselineEnd,Batch,NoiseT,nnK,GausFlag,AggFilter,Working
12,C,11.7,12.4,11.5,11.6,0,0,25,1,50,NA
23,Na,22.7,23.4,22.5,22.6,0,0,25,1,50,NA
31,P,30.7,31.4,30.5,30.6,0,0,25,1,50,NA
35,S,34.7,35.4,34.5,34.6,0,0,25,1,50,NA
56,Fe,55.7,56.4,55.5,55.6,0,0,25,1,50,NA
89,dsDNA,88.6,89.4,88.5,88.6,0,1.2,25,1,50,NA
113,Vimentin,112.6,113.4,112.5,112.6,0,1.5,25,1,50,NA
115,Histone H3,114.6,115.4,114.5,114.6,0,0.2,25,1,50,NA
139,CD16,138.6,139.4,138.5,138.6,0,2.1,25,1,50,NA
140,SMA,139.6,140.4,139.5,139.6,0,3,25,1,50,NA
141,CD209 (DC-SIGN),140.6,141.4,140.5,140.6,0,1.9,25,1,50,NA
142,NFkB-p100 (pS865),141.6,142.4,141.5,141.6,0,2,25,1,50,NA
143,CD4,142.6,143.4,142.5,142.6,0,3,25,1,50,NA
144,CD11c,143.6,144.4,143.5,143.6,0,5.5,25,1,50,NA
145,CD56,144.6,145.4,144.5,144.6,0,3,25,1,50,NA
146,FoxP3,145.6,146.4,145.5,145.6,0,3,25,1,50,NA
147,CD39,146.6,147.4,146.5,146.6,0,5,25,1,50,NA
148,Granzyme B,147.6,148.4,147.5,147.6,0,4,25,1,50,NA
149,Biotin,148.6,149.4,148.5,148.6,0,2.5,25,1,50,NA
150,CD21 (CR2),149.6,150.4,149.5,149.6,0,3,25,1,50,NA
151,Ki-67,150.6,151.4,150.5,150.6,0,2,25,1,50,NA
152,PD-1,151.6,152.4,151.5,151.6,0,4,25,1,50,NA
153,Pax-5,152.6,153.4,152.5,152.6,0,2.5,25,1,50,NA
154,CCR7,153.6,154.4,153.5,153.6,0,4,25,1,50,NA
155,CD163,154.6,155.4,154.5,154.6,0,2.8,25,1,50,NA
156,CD68,155.6,156.4,155.5,155.6,0,3,25,1,50,NA
157,FoxO1,156.6,157.4,156.5,156.6,0,2.8,25,1,50,NA
158,CD8,157.6,158.4,157.5,157.6,0,3,25,1,50,NA
159,CD3,158.6,159.4,158.5,158.6,0,3,25,1,50,NA
160,CD45-RA,159.6,160.4,159.5,159.6,0,3,25,1,50,NA
161,Dinitrophenyl (DNP),160.6,161.4,160.5,160.6,0,2,25,1,50,NA
162,CD86,161.6,162.4,161.5,161.6,0,4,25,1,50,NA
163,CTLA-4,162.6,163.4,162.5,162.6,0,2.5,25,1,50,NA
164,CD20,163.6,164.4,163.5,163.6,0,2,25,1,50,NA
165,Lamin AC,164.6,165.4,164.5,164.6,0,2,25,1,50,NA
166,MPO,165.6,166.4,165.5,165.6,0,2,25,1,50,NA
167,HLA-DR,166.6,167.4,166.5,166.6,0,2,25,1,50,NA
168,IL10,167.6,168.4,167.5,167.6,0,3,25,1,50,NA
169,CD169 (Sialoadhesin),168.6,169.4,168.5,168.6,0,2.2,25,1,50,NA
170,CD8a,169.6,170.4,169.5,169.6,0,5,25,1,50,NA
171,Pan-Keratin,170.6,171.4,170.5,170.6,0,5,25,1,50,NA
172,CD11b,171.6,172.4,171.5,171.6,0,5,25,1,50,NA
173,CD36,172.6,173.4,172.5,172.6,0,5,25,1,50,NA
174,Digoxigenin (DIG),173.6,174.4,173.5,173.6,0,1.8,25,1,50,NA
175,CD25,174.6,175.4,174.5,174.6,0,4,25,1,50,NA
176,CD45,175.6,176.4,175.5,175.6,0,4,25,1,50,NA
181,Ta,180.6,181.4,180.5,180.6,0,0,25,1,50,NA
197,Au,196.6,197.4,196.5,196.6,0,0,25,1,50,NA
